GEOID,medrnt12,medrnt12_moe
060014062022,995.34,90.10000000000001
060014062023,1090.74,118.72
060014063001,780.1600000000001,257.58000000000004
060014063002,1170.24,252.28
060014063003,937.0400000000001,107.06
060014063004,1438.42,535.3000000000001
060014064001,1277.3,501.38000000000005
060014064002,1195.68,171.72
060014065001,1150.1000000000001,118.72
060014065002,1108.76,276.66
060014065003,1025.02,217.3
060014065004,1146.92,177.02
060014066011,1507.3200000000002,147.34
060014066012,1176.6000000000001,62.540000000000006
060014066013,1157.52,140.98000000000002
060014066014,1206.28,245.92000000000002
060014066021,829.98,49.82
060014066022,1050.46,140.98000000000002
060014067001,2121.06,NA
060014067002,NA,NA
060014067003,889.34,110.24000000000001
060014067004,1715.0800000000002,260.76
060014067005,NA,NA
060014068001,1930.26,475.94
060014068002,1045.16,2441.1800000000003
060014068003,1167.06,161.12
060014068004,1172.3600000000001,516.22
060014069001,NA,NA
060014069002,1781.8600000000001,704.9000000000001
060014069003,1242.3200000000002,100.7
060014070001,791.82,254.4
060014070002,1376.94,709.14
060014070003,1090.74,156.88
060014070004,1302.74,217.3
060014070005,1270.94,238.5
060014071011,1040.92,177.02
060014071012,1047.28,248.04000000000002
060014071021,973.08,172.78
060014071022,1160.7,592.5400000000001
060014071023,1381.18,117.66000000000001
060014071024,991.1,382.66
060014072001,899.94,112.36
060014072002,1045.16,167.48000000000002
060014072003,1194.6200000000001,307.40000000000003
060014072004,875.5600000000001,40.28
060014073001,1335.6000000000001,238.5
060014073002,1568.8000000000002,278.78000000000003
060014074001,1011.24,182.32000000000002
060014074002,896.76,184.44
060014074003,932.8000000000001,108.12
060014075001,844.82,124.02000000000001
060014075002,996.4000000000001,73.14
060014075003,880.86,409.16
060014076001,920.08,695.36
060014076002,1369.52,676.2800000000001
060014076003,846.94,1074.8400000000001
060014076004,782.2800000000001,350.86
060014076005,1336.66,965.6600000000001
060014077001,889.34,44.52
060014077002,1522.16,337.08000000000004
060014077003,2121.06,NA
060014077004,1712.96,167.48000000000002
060014078001,NA,NA
060014078002,2121.06,NA
060014078003,938.1,424
060014079001,2067,474.88
060014079002,1702.3600000000001,626.46
060014079003,1750.0600000000002,232.14000000000001
060014080001,2121.06,NA
060014080002,2121.06,NA
060014081001,NA,NA
060014081002,1767.02,94.34
060014081003,NA,NA
060014081004,1398.14,197.16
060014082001,1813.66,175.96
060014082002,1016.5400000000001,68.9
060014082003,1023.96,115.54
060014083001,2093.5,508.8
060014083002,1652.5400000000002,279.84000000000003
060014083003,NA,NA
060014083004,946.58,778.0400000000001
060014083005,1177.66,418.70000000000005
060014084001,1765.96,447.32000000000005
060014084002,1192.5,392.20000000000005
060014084003,1040.92,514.1
060014085001,981.5600000000001,115.54
060014085002,1133.14,446.26000000000005
060014085003,1273.0600000000002,182.32000000000002
060014085004,1229.6000000000001,134.62
060014085005,1504.14,109.18
060014086001,765.32,169.60000000000002
060014086002,1153.28,680.52
060014086003,1266.7,188.68
060014086004,1114.06,1318.64
060014087001,1334.54,415.52000000000004
060014087002,1244.44,274.54
060014087003,1100.28,142.04000000000002
060014087004,1225.3600000000001,195.04000000000002
060014087005,999.58,205.64000000000001
060014087006,846.94,217.3
060014088001,1040.92,146.28
060014088002,949.76,157.94
060014088003,499.26000000000005,83.74000000000001
060014088004,751.5400000000001,371
060014089001,774.86,250.16000000000003
060014089002,1276.24,245.92000000000002
060014090001,1383.3000000000002,157.94
060014090002,NA,NA
060014090003,1538.0600000000002,433.54
060014090004,NA,NA
060014091001,1129.96,541.6600000000001
060014091002,1434.18,1438.42
060014092001,1379.0600000000002,305.28000000000003
060014092002,1182.96,204.58
060014093001,1078.02,254.4
060014093002,1039.8600000000001,119.78
060014093003,1369.52,306.34000000000003
060014093004,1133.14,350.86
060014094001,943.4000000000001,122.96000000000001
060014094002,1230.66,74.2
060014094003,1162.8200000000002,206.70000000000002
060014095001,1057.88,419.76000000000005
060014095002,1168.1200000000001,232.14000000000001
060014095003,929.62,505.62
060014096001,1442.66,217.3
060014096002,1685.4,221.54000000000002
060014096003,1393.9,324.36
060014096004,977.32,612.6800000000001
060014096005,1303.8,172.78
060014097001,921.1400000000001,285.14
060014097002,1054.7,91.16000000000001
060014097003,1138.44,186.56
060014097004,1114.06,275.6
060014098001,2121.06,NA
060014098002,948.7,216.24
060014098003,NA,NA
060014099001,NA,NA
060014099002,1414.04,442.02000000000004
060014099003,1503.0800000000002,697.48
060014099004,NA,NA
060014100001,1260.3400000000001,294.68
060014100002,2121.06,NA
060014100003,NA,NA
060014101001,1800.94,446.26000000000005
060014101002,1392.8400000000001,292.56
060014102001,932.8000000000001,183.38
060014102002,1053.64,714.44
060014102003,1259.28,412.34000000000003
060014103001,1563.5,517.28
060014103002,1205.22,377.36
060014103003,1214.76,94.34
060014104001,1734.16,787.58
060014104002,1223.24,155.82000000000002
060014104003,1331.3600000000001,191.86
060014105001,435.66,89.04
060014201001,1939.8000000000002,456.86
060014201002,2121.06,NA
060014201003,1600.6000000000001,602.08
060014202001,1447.96,69.96000000000001
060014202002,1668.44,354.04
060014202003,1310.16,129.32
060014203001,1221.1200000000001,251.22
060014203002,1783.98,95.4
060014203003,1335.6000000000001,165.36
060014204001,1776.5600000000002,25.44
060014205001,1452.2,122.96000000000001
060014205002,1354.68,391.14000000000004
060014206001,2121.06,NA
060014206002,1469.16,253.34
060014206003,1510.5,542.72
060014211001,2121.06,NA
060014211002,2121.06,NA
060014212001,NA,NA
060014212002,2121.06,NA
060014212003,2121.06,NA
060014212004,2121.06,NA
060014213001,2121.06,NA
060014213002,1637.7,525.76
060014213003,1640.88,296.8
060014213004,1948.2800000000002,422.94
060014214001,1643,556.5
060014214002,2121.06,NA
060014215001,2121.06,NA
060014215002,1845.46,173.84
060014215003,1703.42,291.5
060014216001,2121.06,NA
060014216002,1172.3600000000001,140.98000000000002
060014216003,1199.92,82.68
